drawing_no,title,project_id,building,floor,discipline,current_ver,cad_path,pdf_path,aliases
A0,封面,,,,,,,,
A0-00,索引表,,,,,,,,
A0-01,建築施工說明(一),,,,,,,,
A0-02,建築施工說明(二),,,,,,,,
A0-03,建築施工說明(三),,,,,,,,
A0-04,結構及無障礙施工說明,,,,,,,,
A0-05,機電施工說明(一),,,,,,,,
A0-06,機電施工說明(二),,,,,,,,
A1-01,基地位置圖、配置圖、面積計算表,,,,,,,,
A1-02,基地現況地盤圖,,,,,,,,
A1-03,地下一層柱位放樣平面圖,,,,,,,,
A1-04,一層柱位放樣平面圖,,,,,,,,
A1-05,連續壁穿管位置平面圖,,,,,,,,
A1-06,粉刷表一,,,,,,,,
A1-07,粉刷表二,,,,,,,,
A1-08,色彩計畫,,,,,,,,
A1-09,基地挖填土方計算圖,,,,,,,,
A1-10,工地安全措施及整地說明圖,,,,,,,,
A1-11,職安衛圖解(一),,,,,,,,
A1-12,職安衛圖解(二),,,,,,,,
A1-13,職安衛圖解(三),,,,,,,,
A2-01,全區配置平面圖,,,,,,,,
A2-02,筏基層平面圖,,,,,,,,
A2-03,地下二層平面圖,,,,,,,,
A2-04,地下一層平面圖,,,,,,,,
A2-05,一層平面圖,,,,,,,,
A2-06,二層平面圖,,,,,,,,
A2-07,三層平面圖,,,,,,,,
A2-08,四層平面圖,,,,,,,,
A2-09,五層平面圖,,,,,,,,
A2-10,六層平面圖,,,,,,,,
A2-11,七層平面圖,,,,,,,,
A2-12,屋突一層平面圖,,,,,,,,
A2-13,屋突二層平面圖,,,,,,,,
A2-14,屋突三層與屋頂層平面圖,,,,,,,,
A2-15,造型牆剖面補充,,,,,,,,
A3-01,東西向立面圖,,,,,,,,
A3-02,南向立面圖,,,,,,,,
A3-03,北向立面圖,,,,,,,,
A4-01,剖面/透視索引圖,,,,,,,,
A4-02,橫向剖面圖,,,,,,,,
A4-03,縱向剖面圖(一),,,,,,,,
A4-04,縱向剖面圖(二),,,,,,,,
A4-05,外牆剖面圖-南向,,,,,,,,
A4-06,外牆剖面圖-東向,,,,,,,,
A4-07,外牆剖面圖-北向,,,,,,,,
A4-08,外牆剖面圖-西向(一),,,,,,,,
A4-09,外牆剖面圖-西向(二),,,,,,,,
A5-01,甲安全梯平面圖(一),,,,,,,,
A5-02,甲安全梯平面圖(二),,,,,,,,
A5-03,甲安全梯剖面圖,,,,,,,,
A5-04,乙安全梯平面圖(一),,,,,,,,
A5-05,乙安全梯平面圖(二),,,,,,,,
A5-06,乙安全梯剖面圖,,,,,,,,
A5-07,西側出入口剖面/透剖示意圖,,,,,,,,
A5-08,西側出入口樓梯、無障礙坡道平剖面圖,,,,,,,,
A5-09,警衛室剖/立面圖,,,,,,,,
A5-10,東側出入口平剖面圖,,,,,,,,
A5-11,入口大廳平剖面圖,,,,,,,,
A5-12,汽機車坡道、油槽平面圖,,,,,,,,
A5-13,汽車坡道平面圖、剖面圖,,,,,,,,
A5-14,汽機車坡道剖面圖(一),,,,,,,,
A5-15,汽機車坡道、油槽剖面圖(二),,,,,,,,
A5-16,A電梯平面圖(一),,,,,,,,
A5-17,A電梯平面圖(二),,,,,,,,
A5-18,B電梯平面圖(一),,,,,,,,
A5-19,B電梯平面圖(二),,,,,,,,
A5-20,A電梯剖面圖,,,,,,,,
